world,r,T,ll_m0,ll_m1,ll_m2,d10,d21,d20,g1,g2,label
B,39,1500,-410.5339219547487,-407.139942814699,-275.97937769480393,3.39397914004968,131.16056511989507,134.55454425994475,False,True,M2_claimed
B,40,1500,-413.6707391003291,-419.58721209513146,-259.049304824364,-5.916472994802348,160.53790727076745,154.6214342759651,False,True,M2_claimed
B,41,1500,-412.8095880631837,-414.72467985636257,-258.20845148606776,-1.915091793178874,156.5162283702948,154.60113657711594,False,True,M2_claimed
B,42,1500,-411.87822451144035,-411.8192390327858,-230.79351510224316,0.05898547865456294,181.02572393054263,181.0847094091972,False,True,M2_claimed
B,43,1500,-412.8955644231091,-414.96865640294607,-230.87795852401862,-2.0730919798369882,184.09069787892744,182.01760589909046,False,True,M2_claimed
B,44,1500,-414.2014756111182,-417.3093004337896,-274.3769442177019,-3.1078248226713754,142.93235621608767,139.8245313934163,False,True,M2_claimed
B,45,1500,-413.69281244127154,-416.15497332567907,-249.84622185404714,-2.462160884407524,166.30875147163192,163.8465905872244,False,True,M2_claimed
B,46,1500,-411.82238551540325,-410.0039199953493,-258.20973698229676,1.8184655200539623,151.79418301305253,153.6126485331065,False,True,M2_claimed
B,47,1500,-415.1716564349306,-419.22920766018177,-235.80193316065214,-4.0575512252511885,183.42727449952963,179.36972327427844,False,True,M2_claimed
B,48,1500,-412.12705581555025,-413.0872684207719,-239.71064335018394,-0.9602126052216704,173.37662507058798,172.4164124653663,False,True,M2_claimed
B,49,1500,-412.1950187271579,-413.893968052913,-254.13691770544972,-1.698949325755109,159.7570503474633,158.05810102170818,False,True,M2_claimed
B,50,1500,-411.9199702196684,-412.27797484578156,-249.83026507167753,-0.3580046261131429,162.44770977410403,162.08970514799088,False,True,M2_claimed
B,51,1500,-412.255785705129,-412.5266756259785,-230.88369645797312,-0.2708899208495268,181.64297916800538,181.37208924715586,False,True,M2_claimed
B,52,1500,-412.96714089390423,-413.01784606063813,-259.6764144083334,-0.05070516673390557,153.34143165230472,153.29072648557081,False,True,M2_claimed
B,53,1500,-409.22827647597677,-405.1584840218756,-220.78586447593437,4.069792454101162,184.37261954594123,188.4424120000424,False,True,M2_claimed
B,54,1500,-412.58408485850623,-413.11891760523804,-246.30080270749306,-0.5348327467318086,166.81811489774498,166.28328215101317,False,True,M2_claimed
B,55,1500,-413.5248228986039,-424.39620176820824,-246.85362069167724,-10.87137886960437,177.542581076531,166.67120220692664,False,True,M2_claimed
B,56,1500,-411.7218523448734,-409.04141860535657,-240.46672685213676,2.680433739516843,168.5746917532198,171.25512549273665,False,True,M2_claimed
B,57,1500,-412.18011513578773,-414.9987208135657,-260.5535310120744,-2.8186056777779527,154.44518980149127,151.62658412371331,False,True,M2_claimed
B,58,1500,-414.7440259012578,-416.75630582686284,-261.6214020657892,-2.0122799256050143,155.13490376107364,153.12262383546863,False,True,M2_claimed
B,59,1500,-412.4126745972811,-412.40550057239744,-213.45993859712067,0.0071740248836817955,198.94556197527677,198.95273600016046,False,True,M2_claimed
B,60,1500,-412.6496653896403,-414.91658232979364,-255.99909138926688,-2.266916940153351,158.91749094052676,156.6505740003734,False,True,M2_claimed
B,61,1500,-412.2681016509209,-412.0277006139835,-230.75837662707315,0.24040103693744186,181.26932398691034,181.50972502384778,False,True,M2_claimed
B,62,1500,-414.9966342649946,-417.5905368112543,-246.29424080284684,-2.5939025462596987,171.29629600840747,168.70239346214777,False,True,M2_claimed
B,63,1500,-411.2312751554191,-409.41580183823237,-237.59674604753405,1.8154733171867292,171.81905579069831,173.63452910788504,False,True,M2_claimed
B,64,1500,-412.27549467265237,-411.9926665480061,-246.58525644265464,0.28282812464624385,165.4074101053515,165.69023822999773,False,True,M2_claimed
B,65,1500,-411.88410965524,-411.1687149760744,-248.12141816746143,0.7153946791656267,163.04729680861297,163.7626914877786,False,True,M2_claimed
B,66,1500,-412.163761914447,-412.81833392944196,-249.6924984159546,-0.654572014994983,163.12583551348737,162.4712634984924,False,True,M2_claimed
B,67,1500,-412.02978629463536,-413.1878997466735,-251.23735105732737,-1.158113452038151,161.95054868934614,160.79243523730798,False,True,M2_claimed
B,68,1500,-409.776134379393,-405.47624717433206,-228.79069759049455,4.299887205060941,176.6855495838375,180.98543678889845,False,True,M2_claimed
B,69,1500,-411.5854568877674,-413.02961643976687,-251.7697611095863,-1.444159551999462,161.25985533018056,159.8156957781811,False,True,M2_claimed
B,70,1500,-412.95516972599785,-416.28557757899273,-207.94091467597013,-3.330407852994881,208.3446629030226,205.0142550500277,False,True,M2_claimed
B,71,1500,-411.6790091807398,-411.8251651642123,-236.4246195257099,-0.1461559834725108,175.40054563850242,175.2543896550299,False,True,M2_claimed
B,72,1500,-412.5553167044007,-414.0365012932558,-257.6031139074115,-1.4811845888551147,156.4333873858443,154.95220279698918,False,True,M2_claimed
B,73,1500,-412.2450387597497,-413.5163132569665,-257.2186035573984,-1.2712744972167798,156.2977096995681,155.0264352023513,False,True,M2_claimed
B,74,1500,-412.8519555937933,-414.86333018532997,-211.42495847444778,-2.0113745915366508,203.4383717108822,201.42699711934554,False,True,M2_claimed
B,75,1500,-411.8844021874784,-410.2719714214677,-236.0980290032171,1.6124307660106751,174.1739424182506,175.78637318426127,False,True,M2_claimed
B,76,1500,-411.6614089950137,-411.5032264565244,-256.59221475905775,0.15818253848931363,154.91101169746662,155.06919423595593,False,True,M2_claimed
B,77,1500,-411.0330824809829,-409.93909893221695,-242.3540123226233,1.093983548765948,167.58508660959365,168.6790701583596,False,True,M2_claimed
B,78,1500,-412.0054990302186,-415.5909164179206,-219.82770675623445,-3.585417387702023,195.76320966168615,192.17779227398412,False,True,M2_claimed
B,79,1500,-411.9022181832358,-411.2752658486084,-253.2200852501961,0.62695233462739,158.0551805984123,158.6821329330397,False,True,M2_claimed
C,0,400,-110.4904619252808,-107.01109436179823,-109.55925625581685,3.479367563482569,-2.5481618940186195,0.9312056694639494,False,False,no_dependence
C,1,400,-110.51915812591493,-103.49430001193647,-106.27780412096769,7.024858113978453,-2.783504109031213,4.24135400494724,True,False,M1_sufficient
C,2,400,-116.23832716252458,-107.17131664796223,-106.01047859935659,9.067010514562355,1.1608380486056404,10.227848563167996,True,False,M1_sufficient
C,3,400,-110.26405226292462,-102.9119815298834,-112.92978396560613,7.3520707330412165,-10.017802435722729,-2.665731702681512,True,False,M1_sufficient
C,4,400,-109.82697493099354,-104.52247967078942,-103.20602411058744,5.304495260204121,1.3164555602019874,6.620950820406108,False,False,no_dependence
C,5,400,-111.92610165956982,-102.21176598333801,-103.97468438742771,9.714335676231812,-1.762918404089703,7.951417272142109,True,False,M1_sufficient
C,6,400,-114.59234796919978,-104.64061915487305,-106.54634444323682,9.951728814326728,-1.9057252883637688,8.04600352596296,True,False,M1_sufficient
C,7,400,-113.7322095285666,-104.67767883226934,-108.93437732545412,9.054530696297263,-4.2566984931847855,4.797832203112478,True,False,M1_sufficient
C,8,400,-111.27858200889443,-108.13543545780927,-112.9167832992656,3.1431465510851666,-4.781347841456338,-1.6382012903711711,False,False,no_dependence
C,9,400,-109.53285485277151,-108.49891954445071,-110.26815254305744,1.0339353083207925,-1.769232998606725,-0.7352976902859325,False,False,no_dependence
C,10,400,-111.02645232149031,-107.74165813684083,-110.11991166320192,3.284794184649485,-2.3782535263610924,0.9065406582883924,False,False,no_dependence
C,11,400,-109.10856836331106,-108.21098004497567,-108.77766219001913,0.8975883183353943,-0.5666821450434583,0.33090617329193606,False,False,no_dependence
C,12,400,-110.70336916827439,-103.80893027737584,-106.49609812402888,6.894438890898556,-2.6871678466530398,4.207271044245516,True,False,M1_sufficient
C,13,400,-109.9479707159511,-105.23709192703474,-110.1215371969563,4.710878788916361,-4.884445269921557,-0.17356648100519578,False,False,no_dependence
C,14,400,-113.37454119280054,-107.6883648959162,-112.06836102020702,5.686176296884341,-4.379996124290827,1.306180172593514,False,False,no_dependence
C,15,400,-109.39924763763632,-107.87654726435898,-110.28285726894796,1.5227003732773454,-2.4063100045889882,-0.8836096313116428,False,False,no_dependence
C,16,400,-108.7782737825466,-106.05612953459911,-106.03816440820287,2.7221442479474973,0.017965126396234155,2.7401093743437315,False,False,no_dependence
C,17,400,-110.52149311477365,-110.40415928071005,-118.30965172976184,0.11733383406360076,-7.905492449051792,-7.788158614988191,False,False,no_dependence
C,18,400,-110.02487328985445,-109.69535994175945,-115.88981991869899,0.32951334809500565,-6.194459976939541,-5.864946628844535,False,False,no_dependence
