"STUB_1","STUB_2","3/25/11","3/18/11","3/26/10","3/27/09","3/25/11","3/26/10"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.002","0.002","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","15.353","14.949","14.484","12.230","– –","– –"
"Stocks (Million Barrels) ","CBOB","53.508","53.092","40.484","24.239","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","18.367","18.205","12.327","7.267","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","13.156","12.831","13.420","8.206","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","17.057","17.376","10.606","4.997","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.535","0.582","0.368","0.596","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","4.394","4.098","3.763","3.173","– –","– –"
"Stocks (Million Barrels) ","GTAB","1.193","0.733","1.261","1.186","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","1.193","0.732","1.261","1.167","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.000","0.001","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.000","0.000","0.000","0.019","– –","– –"
"Stocks (Million Barrels) ","All Other Blending Components","48.109","47.329","54.114","54.483","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","8.900","8.638","10.180","11.482","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","8.610","8.193","8.938","8.632","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","20.360","20.543","23.035","23.864","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","1.763","1.764","1.647","1.891","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","8.476","8.191","10.314","8.614","– –","– –"
"Stocks (Million Barrels) ","Fuel Ethanol","20.092","20.048","–","–","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","7.723","7.512","–","–","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","7.123","7.185","–","–","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","2.690","2.878","–","–","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.269","0.244","–","–","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","2.286","2.229","–","–","– –","– –"
"Stocks (Million Barrels) ","Kerosene-Type Jet Fuel","40.577","39.138","41.992","39.540","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","8.533","8.243","11.185","9.157","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","7.571","7.709","8.037","7.321","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","12.943","12.063","13.144","12.870","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.620","0.609","0.616","0.576","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","10.912","10.515","9.010","9.616","– –","– –"
"Stocks (Million Barrels) ","Distillate Fuel Oil","153.325","152.615","144.606","144.153","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","54.850","54.226","57.665","53.310","– –","– –"
"Stocks (Million Barrels) ","New England (PADD 1A)","9.232","8.947","9.629","10.200","– –","– –"
"Stocks (Million Barrels) ","Central Atlantic (PADD 1B)","30.955","30.531","35.937","28.711","– –","– –"
"Stocks (Million Barrels) ","Lower Atlantic (PADD 1C)","14.663","14.748","12.099","14.399","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","30.905","30.437","29.006","33.718","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","50.666","51.984","43.931","40.657","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","3.445","3.386","3.032","3.321","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","13.459","12.582","10.972","13.147","– –","– –"
"Stocks (Million Barrels) ","15 ppm sulfur and Under","107.939","107.226","88.547","86.333","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","24.135","23.534","19.389","18.768","– –","– –"
"Stocks (Million Barrels) ","New England (PADD 1A)","2.881","2.567","1.963","2.527","– –","– –"
"Stocks (Million Barrels) ","Central Atlantic (PADD 1B)","9.291","9.384","9.554","8.639","– –","– –"
